id,country,fifa_code,group_letter,wins,draws,losses,games_played,goals_for,goals_against,goal_differential,Total Fouls,Total Shots on Target,Total Shots Blocked,Total Corner Kicks,Average Possession,Win Ratio,Win Ratio per
1,France,FRA,A,4,0,1,5,10,4,6,48,26,27,45,58.2,0.8,80%
2,Korea Republic,KOR,A,0,0,3,3,1,8,-7,32,15,13,11,52.7,0.0,0%
3,Norway,NOR,A,2,1,2,5,7,7,0,50,18,18,27,48.8,0.4,40%
4,Nigeria,NGA,A,1,0,3,4,2,7,-5,50,4,9,15,39.2,0.25,25%
5,Germany,GER,B,4,0,1,5,10,2,8,46,35,16,36,56.0,0.8,80%
6,China PR,CHN,B,1,1,2,4,1,3,-2,54,9,13,19,45.2,0.25,25%
7,Spain,ESP,B,1,1,2,4,4,4,0,36,24,24,22,59.5,0.25,25%
8,South Africa,RSA,B,0,0,3,3,1,8,-7,28,4,4,6,39.0,0.0,0%
9,Australia,AUS,C,2,1,1,4,9,6,3,46,23,10,24,55.5,0.5,50%
10,Italy,ITA,C,3,0,2,5,9,4,5,57,20,11,16,47.8,0.6,60%
11,Brazil,BRA,C,2,0,2,4,7,5,2,59,20,13,24,51.2,0.5,50%
12,Jamaica,JAM,C,0,0,3,3,1,12,-11,24,8,12,8,41.3,0.0,0%
13,England,ENG,D,5,0,2,7,13,5,8,68,37,20,37,55.9,0.71,71%
14,Scotland,SCO,D,0,1,2,3,5,7,-2,29,15,6,13,48.0,0.0,0%
15,Argentina,ARG,D,0,2,1,3,3,4,-1,29,7,4,1,42.0,0.0,0%
16,Japan,JPN,D,1,1,2,4,3,5,-2,29,18,6,17,51.0,0.25,25%
17,Canada,CAN,E,2,0,2,4,4,3,1,29,14,19,27,60.5,0.5,50%
18,Cameroon,CMR,E,1,0,3,4,3,8,-5,53,12,9,12,40.0,0.25,25%
19,New Zealand,NZL,E,0,0,3,3,1,5,-4,18,6,1,6,38.3,0.0,0%
20,Netherlands,NED,E,6,0,1,7,11,5,6,72,29,26,19,56.0,0.86,86%
21,USA,USA,F,7,0,0,7,26,3,23,59,58,22,46,56.4,1.0,100%
22,Thailand,THA,F,0,0,3,3,1,20,-19,20,7,1,3,33.7,0.0,0%
23,Chile,CHI,F,1,0,2,3,2,5,-3,18,8,3,5,42.0,0.33,33%
24,Sweden,SWE,F,5,0,2,7,12,6,6,87,43,18,39,44.3,0.71,71%
